Matrix Size,Block Size,Blocked Time (ms)
512,8,1.087
512,16,0.540
512,32,0.622
512,64,0.859
512,128,0.821
1024,8,3.628
1024,16,2.446
1024,32,3.756
1024,64,3.476
1024,128,3.345
1536,8,6.996
1536,16,5.248
1536,32,8.168
1536,64,6.350
1536,128,6.699
2048,8,13.393
2048,16,20.467
2048,32,26.226
2048,64,26.328
2048,128,25.818
2560,8,19.486
2560,16,14.589
2560,32,16.571
2560,64,18.552
2560,128,18.289
3072,8,29.155
3072,16,22.031
3072,32,33.772
3072,64,32.644
3072,128,31.455
3584,8,42.576
3584,16,29.145
3584,32,31.945
3584,64,36.734
3584,128,35.900
4096,8,58.822
4096,16,82.285
4096,32,104.606
4096,64,102.787
4096,128,102.380
4608,8,69.040
4608,16,47.446
4608,32,57.152
4608,64,59.329
4608,128,58.179
5120,8,83.736
5120,16,61.511
5120,32,94.070
5120,64,89.367
5120,128,85.843
5632,8,103.826
5632,16,72.940
5632,32,78.910
5632,64,97.907
5632,128,88.997
6144,8,129.139
6144,16,187.963
6144,32,235.647
6144,64,233.472
6144,128,231.870
6656,8,136.358
6656,16,101.167
6656,32,115.301
6656,64,129.039
6656,128,122.096
7168,8,171.832
7168,16,121.720
7168,32,191.807
7168,64,185.824
7168,128,170.097
7680,8,181.344
7680,16,166.088
7680,32,153.126
7680,64,166.236
7680,128,162.852
8192,8,225.269
8192,16,326.510
8192,32,410.725
8192,64,404.278
8192,128,449.824
